ID,Возраст,Доход клиента,Вероятность банкротства,Флаг утилизации счёта,Расходы,PV КК,PV услуги,NPV
59,44,26052.155751150025,0.016042243309824893,1,57,5711,1361,7015
60,55,101602.83157072456,0.018194070313194817,1,1013,7726,1692,8405
61,25,54129.77302333338,0.07958932855968127,1,256,5928,1360,7032
62,25,35105.74127893342,0.21650208802982449,0,22,0,0,-22
63,25,20139.200872411537,0.03983340093974699,1,497,5798,1412,6713
64,71,31869.277484277653,0.024354182722664933,1,352,7029,1341,8018
65,60,22858.202043384277,0.16003359818135324,1,80,5921,1441,7282
66,49,25264.561106612695,0.08271818226914546,1,693,6899,1507,7713
67,55,31910.489120919472,0.039770482535118015,1,113,20298,2322,22507
68,30,21701.09986472568,0.13515459120762344,1,107,7257,1603,8753
69,20,21196.88298802898,0.17044393345602435,1,96,5824,1577,7305
70,18,21173.425477220582,0.14270496619517856,0,15,0,0,-15
71,31,27477.453130666712,0.03676400168359743,1,131,6470,1348,7687
72,34,36164.8901598952,0.13397973695520507,0,1,0,0,-1
73,60,23935.516418566825,0.02682097878709464,1,723,5560,1347,6184
74,55,29290.33222985841,0.04073903867360036,1,205,5887,1786,7468
75,47,30711.394718593703,0.02880113167530712,1,1124,6245,2044,7165
76,23,27038.703096842375,0.007617595703394686,0,82,0,0,-82
77,23,54661.224413814954,0.015831744787051325,1,1410,9086,1626,9302
78,68,22182.459164062686,0.21810479361650076,1,684,8050,2770,10136
79,53,145209.97909750795,0.22136467835215876,1,753,18529,2327,20103
80,71,22640.676259777276,0.06760592298128468,1,638,7645,1575,8582
81,64,24793.39912935546,0.3417316030249926,0,33,0,0,-33
82,60,31035.820139443276,0.05208412978004913,1,207,14318,2219,16330
83,39,23386.14273924384,0.03867307651107145,1,145,7881,1929,9665
84,64,27233.103204721698,0.08020331229877323,1,1478,7398,1362,7282
85,35,20084.589142886663,0.03297797757231647,1,646,17704,1648,18706
86,66,22839.140580716405,0.03627040839525762,1,204,5442,2392,7630
87,42,29310.37844861739,0.02223653250630754,1,577,7945,1697,9065
88,59,31820.109780793657,0.0354425214856655,1,114,5463,1506,6855
89,36,27646.11908666454,0.12336109680365089,0,30,0,0,-30
90,57,47544.71608287769,0.030546835772643346,0,23,0,0,-23
91,40,45132.92190728962,0.14365916322906347,1,254,7477,2621,9844
92,31,33537.23225043402,0.17391605936395474,1,213,5466,1773,7026
93,42,22764.48094608068,0.01014531579251201,1,90,6290,2402,8602
94,46,23089.250070578986,0.0034218244909223817,1,932,29889,2201,31158
95,26,24540.36151646546,0.2385822884144287,1,142,7821,1580,9259
96,29,22252.794663341854,0.12542788834684845,0,24,0,0,-24
97,68,22466.2945022145,0.08229141301384128,1,3086,11516,2525,10955
98,35,30830.67710308177,0.08535839999695344,1,410,9114,1560,10264
99,42,29641.577561111848,0.0038144304201612024,0,23,0,0,-23
100,53,22201.04844685796,0.20300689023871882,0,111,0,0,-111
101,40,31200.51730916876,0.16498366343281154,1,141,6306,1360,7525
102,24,20553.91848151975,0.044538161007809995,1,46,11499,2214,13667
103,66,23699.817132803022,0.11559269118906196,1,56,8163,2167,10274
104,18,29147.306707978067,0.2942709939057237,1,74,7283,2006,9215
105,56,118100.713815574,0.02213274857137696,1,508,17049,1843,18384
106,24,47841.80615175889,0.24749393770871708,1,206,5622,1507,6923
107,18,23375.873342748582,0.07307871382181902,1,287,7148,1430,8291
108,59,22082.27780521027,0.40978237960586894,1,92,7797,2155,9860
109,24,22115.77878949569,0.002373055421027614,1,229,6399,2409,8579
110,75,20014.351525243277,0.3013592799353656,0,43,0,0,-43
111,37,48700.01568732325,0.13307793387187836,0,18,0,0,-18
112,28,21088.551716962476,0.3248879709571017,1,872,8825,3119,11072
113,18,27665.15509007519,0.051450078923602455,1,219,14393,1549,15723
114,42,20930.466059042927,0.4912894876859376,1,792,11474,1561,12243
115,51,27416.040806153862,0.09529118571771147,1,139,6222,2149,8232
116,22,20246.21033386822,0.1399311882189267,0,32,0,0,-32
117,67,25486.59204089208,0.22942125347519032,1,413,8681,1741,10009
118,63,20890.303294481317,0.26379687157095927,0,12,0,0,-12
119,35,28544.855497780456,0.033067555546077834,0,106,0,0,-106
120,62,29354.982283940855,0.0834483765824377,1,274,6651,2572,8949
121,19,24810.437182608173,0.013033268251499053,1,239,9203,3961,12925
122,54,51164.2265188783,0.0451278398734622,1,469,6005,1643,7179
123,19,27225.043002566585,0.05577806241414024,0,31,0,0,-31
124,64,64998.929201123596,0.03325657407079254,1,74,6555,1507,7988
125,37,20108.152805933387,0.010151469192393311,1,65,11348,1395,12678
126,64,20196.942099925178,0.11873787162269722,1,371,10551,1376,11556
127,22,20405.679141231256,0.15783782853681966,1,508,7958,1585,9035
128,41,22001.544805071975,0.09871040076122894,1,145,11699,1608,13162
129,24,22073.2271949984,0.102513578354866,1,282,6327,1919,7964
130,53,24741.751059962626,0.06071686419716548,0,17,0,0,-17
131,74,27658.91549315283,0.0034858161436126297,1,527,9651,1969,11093
132,29,26586.308975695632,0.006236599887887314,1,157,5285,1459,6587
133,74,34883.4099983018,0.0021294783127979275,1,76,6565,2189,8678
134,38,24515.694524747985,0.17770354090508186,0,93,0,0,-93
135,19,30558.837356908938,0.17262224022984826,1,221,7975,1564,9318
136,36,25633.550182334046,0.32507555996278686,1,769,11687,1424,12342
137,44,45155.577789079915,0.042056565801410595,1,269,5628,1894,7253
138,19,22524.82780582411,0.09745957617117314,1,176,10561,1388,11773
139,45,20772.37397547567,0.0575764536373206,1,366,5717,2472,7823
140,25,24122.85150865683,0.06305070146763739,1,169,6823,1716,8370
141,31,42990.100576927696,0.05865763908257944,1,1576,17288,1578,17290
142,22,46810.46293460501,0.22517103276807057,1,115,13345,3015,16245
143,38,31381.916412708364,0.041022152587087225,1,1439,6146,1656,6363
144,34,21376.48259882051,0.11158820648246988,1,43,6438,1512,7907
145,31,22967.0565790453,0.01056808114109749,1,638,16986,1519,17867
146,37,26278.23734669939,0.07097382015747326,0,99,0,0,-99
147,33,22348.01120677987,0.17403479489904516,1,199,5307,1466,6574
148,34,33035.12695913329,0.0026827717204903623,1,507,6873,1432,7798
149,18,32402.529358186388,0.08469345427852239,1,96,7995,2410,10309
150,44,22473.181182967142,0.004690247004480032,1,1126,5346,2432,6652
151,67,21789.21025434613,0.29509600887331605,1,49,7543,1795,9289
152,34,40060.10215414828,0.024616788308836558,1,364,10833,1818,12287
153,19,20906.675099847125,0.04997487038741158,1,196,9782,3381,12967
154,32,36713.29517428777,0.05192895254642261,1,379,7728,1881,9230
155,29,20249.212784185365,0.09223928607391536,1,456,8237,1881,9662
156,21,30044.944499134366,0.029940942975021683,1,585,7248,2375,9038
157,73,38009.52736381081,0.349380341221643,0,11,0,0,-11
158,48,45596.52794999756,0.2625638246347715,1,182,7213,1661,8692
159,19,24602.814951498272,0.02412904408266753,1,916,5341,2221,6646
160,53,44537.5383949147,0.1276776544526635,0,41,0,0,-41
161,63,30637.732894373603,0.12873595203480173,1,577,7295,1417,8135
162,56,20920.852269468887,0.25074994556858415,0,43,0,0,-43
163,49,20392.381231076924,0.03681613007277723,1,129,11671,2005,13547
164,22,20275.41686839978,0.13366960232272493,1,265,6734,1993,8462
165,63,50445.00981004266,0.18620716264280907,0,87,0,0,-87
166,25,31045.119626024305,0.034268223199069865,1,365,6223,1594,7452
167,30,25156.917557212815,0.031168021071364026,0,24,0,0,-24
168,23,22976.892728054965,0.014781207086590014,1,93,5316,1449,6672
169,44,22386.060430602796,0.10645291906723535,1,266,6109,1357,7200
170,20,20075.664610107007,0.09096357229809451,1,123,16849,2186,18912
171,36,34361.63461581338,0.0759508179837635,1,296,30586,1786,32076
172,19,24027.243662611094,0.12269916797731599,1,599,5299,1925,6625
173,34,26250.83718686593,0.007350687561057568,1,513,5624,1497,6608
174,65,26502.751306758786,0.14647049289012565,1,152,6092,1645,7585
175,27,20488.434889179833,0.0817739976383791,0,128,0,0,-128
176,42,20223.888482061153,0.07203563154974278,1,2007,6553,1545,6091
177,32,52443.335000624524,0.2605493415968186,1,288,11223,1540,12475
178,51,49577.14221943758,0.1002161623889209,1,912,11523,2112,12723
179,60,21033.190415767272,0.3298219500869801,0,36,0,0,-36
180,37,30164.011401611533,0.18722281966403548,0,47,0,0,-47
181,20,22227.47545519474,0.07858334985382394,1,412,5587,2036,7211
182,48,22163.353755360095,0.16024328490662376,1,16,5511,1464,6959
183,54,24157.777726511704,0.026830362115898038,1,1146,5565,1570,5989
184,47,34769.17444423987,0.34242844417321777,1,383,6313,1429,7359
185,66,21997.411290550932,0.3459665961894597,1,263,5905,1990,7632
186,18,20735.015758441292,0.3299887711505078,1,26,6404,4637,11015
187,38,31299.36725478018,0.001810674981033213,0,12,0,0,-12
188,70,21331.00415110625,0.030113119127465948,0,87,0,0,-87
189,50,20284.089597498754,0.20769962384927013,1,144,41919,2103,43878
190,66,24152.606387057695,0.26550650465874115,0,1,0,0,-1
191,33,20851.88743416297,0.09676521432909595,1,749,7456,2723,9430
192,27,20895.64170609044,0.31592685814479005,1,364,6400,1737,7773
193,66,20348.896678725552,0.16261094776416743,1,128,10904,3724,14500
194,26,20531.642270603308,0.14092760989060568,1,571,7945,1554,8928
195,24,29105.741214052236,0.06715311545388843,1,85,7461,2507,9883
196,19,23379.164976739423,0.16049022017255976,1,237,5609,1352,6724
197,22,23260.090351176757,0.12318968343037563,1,1324,5542,1400,5618
198,75,28044.120002273954,0.035395865879324036,1,172,5535,1648,7011
199,38,21722.264612336374,0.24456645317831324,1,393,7109,1443,8159
200,36,43039.625825107956,0.09566236873843245,1,162,5671,1896,7405
201,47,27977.953490832573,0.12563962491285993,0,80,0,0,-80
202,66,23418.532445178356,0.044988088939362327,1,97,5881,1735,7519
203,35,28102.36694407295,0.10872623293384594,0,36,0,0,-36
204,30,39537.896101620965,0.45572600663673135,1,289,7100,1743,8554
205,34,28022.3435128342,0.14911181470686996,1,516,6344,1550,7378
206,36,24033.453555929635,0.008557826411151243,1,1187,8756,1558,9127
207,22,20461.951887668056,0.2643730807255776,1,224,6253,1472,7501
208,47,25442.912724215952,0.03657675165270828,1,105,12145,1626,13666
209,49,21278.991674934397,0.0481227343798648,1,343,12819,1350,13826
210,43,45365.92353010613,0.19685343612381423,1,51,6016,1461,7426
211,32,26917.849864598786,0.0856522647440273,1,470,6844,1767,8141
212,38,20338.666178353924,0.0024190671044466657,1,54,22272,1783,24001
213,39,24187.80722670651,0.06141584837966124,1,347,5323,1438,6414
214,39,21401.95845835274,0.1575437656960448,0,67,0,0,-67
215,42,28007.541352073607,0.127838612724943,1,184,5264,1625,6705
216,44,21505.65611106968,0.06301311855049134,1,143,7519,5895,13271
217,71,22865.63831455433,0.04868493997836489,0,27,0,0,-27
218,35,38974.17535597634,0.09632317930354943,0,7,0,0,-7
219,41,23424.48183594924,0.05873488681469566,0,136,0,0,-136
220,30,26417.34731317579,0.026658851965946726,1,62,9202,1716,10856
221,18,20143.925712496184,0.11448439094061727,1,733,7764,1397,8428
222,35,35916.54577075505,0.13752951229053365,1,939,8009,3753,10823
223,52,64597.19417157117,0.03815852514393167,1,314,7618,1453,8757
224,19,20797.117437396224,0.1960976066369255,1,337,6264,2252,8179
225,72,29895.73633017327,0.08371123009259429,0,43,0,0,-43
226,18,23522.72172755502,0.18643182135996153,1,209,8723,1629,10143
227,29,27676.283740293165,0.10785859755275456,1,260,8131,1603,9474
228,37,37055.33351114468,0.07378311392152834,1,461,6112,1360,7011
229,36,36643.08195990573,0.08719302914244986,1,293,6502,2518,8727
230,54,41101.28335561682,0.08882510233735362,1,43,6828,1621,8406
231,53,26392.610469927266,0.0027531942186902266,1,757,10763,1474,11480
232,60,21834.668032847272,0.39015917192896893,1,438,5299,1349,6210
233,50,46285.010906651085,0.08056132966364152,1,177,8145,1470,9438
234,27,21583.122219102977,0.011075413710650909,1,230,9175,2405,11350
235,40,23158.845628899275,0.08182180320341224,0,3,0,0,-3
236,39,118436.61512729323,0.13085533408742475,1,219,6339,3824,9944
237,23,39668.062145023316,0.15086410499500302,0,51,0,0,-51
238,31,22112.951685873802,0.21055075755604158,0,22,0,0,-22
239,68,29913.85320427403,0.06263352060667159,1,264,5487,2349,7572
240,32,44355.30714836397,0.1096090016622923,0,43,0,0,-43
241,46,59571.27593276202,0.021543055576587485,1,12,10185,2147,12320
242,31,29137.388934522878,0.2496014138233525,0,79,0,0,-79
243,45,30817.06910107885,0.02179337232146392,1,678,5902,2301,7525
244,41,77050.87973988662,0.11671210883974395,1,1090,8840,2189,9939
245,37,22832.227191681897,0.021738270935861934,1,175,6622,1506,7953
246,19,22673.78432444537,0.2393293933299587,1,373,7639,1706,8972
247,38,28823.8810325777,0.1578682196763345,0,43,0,0,-43
248,42,20025.877538402656,0.049523020894295444,0,240,0,0,-240
249,64,21627.842864611383,0.42323759047610393,1,408,6000,1572,7164
250,47,44081.56024416614,0.009717748256688518,1,274,5518,1345,6589
251,63,23786.164460783384,0.008035755271611695,1,912,8983,2105,10176
252,18,39498.54940607242,0.22265401616076763,1,159,6962,1401,8204
253,60,24084.011942035075,0.04260082164225997,1,1654,7308,1698,7352
254,35,20856.613390833223,0.07808726862498153,1,469,7856,1636,9023
255,26,48386.64285326433,0.06601960270271258,1,686,5831,2022,7167
256,38,48706.425093882164,0.08991855350627519,1,43,7929,2950,10836
257,23,63038.98194667753,0.03408104971216689,0,16,0,0,-16
258,72,23754.96529624268,0.5717601084434908,0,9,0,0,-9
259,75,21559.52726778145,0.11560714521179502,1,162,34323,1360,35521
260,19,21105.655317762612,0.22344513686766068,1,472,18270,1388,19186
261,44,62146.0317543695,0.10456276575581808,1,841,8205,2713,10077
262,28,20813.577024089554,0.029081540155783108,1,134,6203,1543,7612
263,53,24394.36300055172,0.016725340421695052,1,519,5837,1766,7084
264,51,21243.895053186952,0.06006258804820558,0,54,0,0,-54
265,27,75622.19833374508,0.14339143854817268,0,30,0,0,-30
266,23,23844.950922298838,0.2817272747329829,1,1465,7794,1490,7819
267,38,25477.843695752774,0.08178511330041476,1,349,6183,1793,7627
268,27,27204.90135429527,0.023343661727575207,1,593,5631,1943,6981
269,37,29230.998394264956,0.0030955317449967174,1,271,5823,1949,7501
270,23,20941.716479465682,0.10156786655381363,1,1724,5638,2080,5994
271,21,27144.853679741784,0.07208117564269775,1,186,9389,1653,10856
272,35,36997.53534573109,0.14006192844894508,0,22,0,0,-22
273,52,23895.91991292678,0.06236428387185426,1,588,5973,2334,7719
274,22,146439.67971103685,0.0190443435144458,1,755,5308,1518,6071
275,28,30791.40407772362,0.2006274755343612,1,384,7108,2195,8919
276,23,29742.586423977747,0.39015325633772746,1,258,7429,2121,9292
277,41,26538.859783333068,0.02935910953734689,1,343,6015,2771,8443
278,37,32268.009519370215,0.05864079260430329,1,590,21029,1557,21996
279,45,55526.559760820084,0.050624042888502474,1,296,45714,1584,47002
280,72,21671.631556888384,0.11119223353159532,1,164,6697,1542,8075
281,69,82854.77893263822,0.20224274352453991,1,126,6310,2037,8221
282,47,60862.598446881246,0.16241700632277017,1,1103,7415,3295,9607
283,66,44204.802543155776,0.3216107473241037,1,213,5857,1404,7048
284,30,27031.33529414661,0.10958566579034058,1,414,5285,1522,6393
285,49,23154.370953424575,0.07885984398014718,1,55,9255,1488,10688
286,23,21357.150710932543,0.016118749728025752,1,343,5674,1456,6787
287,19,36157.9366008909,0.09677167394967012,0,38,0,0,-38
288,37,38004.18556814975,0.31633321954386523,1,131,16123,1552,17544
289,74,28208.75189583151,0.14623760313809533,1,723,5831,1372,6480
290,35,26535.7987406724,0.013041451168026939,1,103,6910,1380,8187
291,49,21088.342489206607,0.2512341346581815,1,84,6658,1433,8007
292,32,24489.997277980674,0.13029022273058066,1,149,14312,1579,15742
293,67,25666.352119936568,0.13033010782271748,1,2214,32357,5487,35630
294,52,20162.720204368907,0.06047087857874239,1,596,7464,1445,8313
295,18,30472.084982409284,0.006748212602372002,0,20,0,0,-20
296,27,26602.137577633704,0.08979517431475703,0,91,0,0,-91
297,28,21392.143567823237,0.013242454592896248,1,293,8193,1361,9261
298,48,22401.776325564315,0.12245090062376592,1,463,12840,1536,13913
299,20,22075.56647275565,0.14660157584184724,1,259,10813,3469,14023
300,36,50895.125275024104,0.14969058306262936,0,58,0,0,-58
301,31,31917.04837595473,0.0034831922821546546,1,374,8529,1607,9762
302,31,29843.635608310484,0.0172310775087178,0,8,0,0,-8
303,25,22361.39160606721,0.13251065532253356,1,611,6596,2229,8214
304,23,22773.249934967997,0.07608087430305105,1,518,5973,1341,6796
305,40,24001.403780987646,0.0009380770003931372,1,10,17709,1588,19287
306,38,22281.84393539359,0.007570390439653948,1,160,12244,1769,13853
307,22,51713.064853719814,0.11418184202914432,1,119,6544,1603,8028
308,60,41742.14979589043,0.10264940389387692,1,191,5534,1383,6726
309,24,114240.27364769124,0.09260691434782796,1,1024,5407,1505,5888
310,25,26806.43765633794,0.0025493773551778184,1,645,5542,1851,6748
311,23,37746.9264757054,0.06429172755381603,1,245,13326,1369,14450
312,68,51586.243937024534,0.019091690446225242,1,2565,10064,1338,8837
313,54,25168.83979003643,0.24593324105591752,1,158,13395,2332,15569
314,27,29239.221273329975,0.10043680543676466,1,169,6232,1868,7931
315,33,25346.387294655127,0.20129804968599513,1,193,6356,1516,7679
316,50,20313.270790303533,0.4183703976385419,1,243,5904,1403,7064
317,30,20082.39391283202,0.23938244254831803,0,153,0,0,-153
318,27,23615.487888302287,0.05685833136746004,0,16,0,0,-16
319,46,23903.064446612727,0.19685527625608834,1,687,11709,1506,12528
320,36,32549.43270554233,0.18435647619267656,0,185,0,0,-185
321,35,20642.170816697195,0.0342096610113866,0,10,0,0,-10
322,33,20316.474697055583,0.000978598644756608,1,936,5947,1455,6466
323,64,57946.24918367357,0.1295800417234084,1,272,5260,2656,7644
324,33,23022.41775555059,0.01882116737631119,1,797,30204,1850,31257
325,26,27012.55379952512,0.1545037278798007,1,40,5479,2358,7797
326,18,22223.91942183902,0.029348749568328142,1,240,5613,2526,7899
327,28,20879.346195591366,0.43496646204909334,1,87,8179,1548,9640
328,20,22487.92799894274,0.09979545724910772,1,54,5909,3214,9069
329,55,22284.36293779722,0.03240208779924741,1,80,5449,1418,6787
330,19,22463.216344222466,0.027715441622665673,0,27,0,0,-27
331,26,45971.302409235715,0.22084072844919742,0,38,0,0,-38
332,50,20303.178886293288,0.24825435082573147,0,18,0,0,-18
333,19,31415.749621763818,0.06198639136486695,1,313,5917,2616,8220
334,20,30130.78565489979,0.013463332013355204,1,116,11520,1927,13331
335,30,23465.949587192812,0.0029125375957057974,1,158,7932,2571,10345
336,37,22550.429080234448,0.1476129916389553,1,165,7783,1347,8965
337,36,22685.42646392012,0.09324415812915542,1,282,6505,1658,7881
338,28,20080.913805557506,0.09564898510969726,1,111,9385,1731,11005
339,69,32573.965220106937,0.03640659111065075,1,226,8185,1960,9919
340,22,28697.910704713915,0.007355040544669044,1,467,7199,2010,8742
341,31,170389.74892139478,0.30179155195079477,1,248,7008,2413,9173
342,42,21965.03354792934,0.18846859551453285,0,65,0,0,-65
343,29,26093.153560423623,0.2581065317120969,0,167,0,0,-167
344,51,22310.366348139196,0.02190633567671332,1,249,5624,1363,6738
345,57,61973.25399691833,0.19088544276937372,0,28,0,0,-28
346,49,21659.30783439795,0.2950985509586056,1,210,5329,1645,6764
347,58,23119.313938498683,0.14795037837730535,0,58,0,0,-58
348,31,21777.006784419682,0.0006272359122006368,1,308,9176,1878,10746
349,25,20107.536127110787,0.030517841173254227,1,131,5955,3535,9359
350,23,25025.44908182743,0.1052527158855789,1,88,6209,2164,8285
351,25,21030.017174619137,0.07439023545100812,1,79,15443,3791,19155
352,51,45322.05327334382,0.10667979551101038,1,297,5686,2559,7948
353,56,21853.7049030948,0.17294755464100442,1,1398,5427,1795,5824
354,35,23435.885677103266,0.4595973221615226,0,18,0,0,-18
355,26,47335.41757970749,0.3635289743206069,0,38,0,0,-38
356,60,21103.004276142066,0.0013832459561158369,1,61,26406,1427,27772
357,75,23439.395051523294,0.17574863629435888,1,112,7049,1548,8485
358,63,21528.11613851969,0.011444619976289195,1,108,5979,1535,7406
359,46,33331.035207866575,0.1578195751068441,1,11,5240,1475,6704
360,23,31117.464068850662,0.09590070774965447,0,39,0,0,-39
361,31,20454.487483153753,0.015140436252570071,1,864,7472,1454,8062
362,52,22315.05826341578,0.20577062931803453,1,411,12730,2709,15028
363,23,20140.96834136617,0.05497599525608846,0,133,0,0,-133
364,72,20507.014849427083,0.5694475161367918,0,18,0,0,-18
365,30,25764.626978112523,0.06886152596554387,1,2344,6184,1369,5209
366,60,34585.78288958945,0.16520342380492664,1,209,8596,1624,10011
367,25,22244.538274690058,0.13752646240174565,1,384,6489,5614,11719
368,26,28104.621764800653,0.15512625488595783,0,41,0,0,-41
369,19,43588.70228147885,0.11278312218490222,1,1535,5519,2455,6439
370,40,34174.03964196311,0.04724833466113882,1,194,5831,1380,7017
371,42,28031.72492612181,0.05051582805747976,0,98,0,0,-98
372,20,71000.35354012495,0.021025137640952072,1,37,7943,1481,9387
373,50,22150.245970134907,0.1352125629599611,1,85,6143,1403,7461
374,26,20406.75277184426,0.1389799089825933,1,171,7819,2051,9699
375,24,22188.82508350717,0.03475037372726973,1,225,22986,2045,24806
376,42,25047.099252784523,0.12567154543162873,1,288,9438,1688,10838
377,39,20287.375690231904,0.07284357038919402,1,153,5340,1535,6722
378,44,31510.39818943369,0.008016215111768943,1,103,6834,1605,8336
379,68,23121.53477682906,0.1057420597644974,1,581,6819,1560,7798
380,41,37872.09696675599,0.141353059043524,1,1397,9298,1759,9660
381,50,25077.863028086205,0.1360039172132419,1,1015,7097,1360,7442
382,26,43387.175594749126,0.08187569210875384,0,96,0,0,-96
383,52,21532.501281510453,0.22885266146446603,1,818,17507,3221,19910
384,68,35218.412857506635,0.16885370070945346,1,64,8614,1496,10046
385,66,24251.58523000562,0.16332601268370867,1,813,8288,1365,8840
386,21,20619.77449072632,0.03606653157316531,1,1220,7004,1760,7544
387,35,56040.94289564579,0.01118514267339716,1,205,9337,1341,10473
388,54,24072.076306435036,0.15375492284487574,1,359,16169,1333,17143
389,32,37057.54643926761,0.17783154882533075,1,272,7861,1786,9375
390,21,20856.353960739852,0.37993032831556867,1,111,20034,1353,21276
391,30,21501.62073530763,0.25418758004117475,1,71,10409,1826,12164
392,36,22039.41297259716,0.22526730473081605,1,693,8724,1396,9427
393,30,60377.67717846493,0.03572775581380021,1,118,12686,1954,14522
394,69,20379.82618303987,0.07239024064003835,1,560,44834,2488,46762
395,51,24914.140985165202,0.2104273700376728,0,52,0,0,-52
396,67,32552.7952277862,0.08823601025865406,1,808,5813,2293,7298
397,60,43387.453042280424,0.19712092904821846,1,487,9685,1541,10739
398,22,31352.024891058532,0.03093943395270446,0,15,0,0,-15
399,41,20370.764917388424,0.0010748753186062552,1,595,18375,1379,19159
400,27,20673.19794333017,0.0036163876764488084,1,61,44061,1500,45500
401,38,20124.49767655051,0.48810433174273476,1,1445,39422,1779,39756
402,18,48467.54236887224,0.4899678471377575,0,88,0,0,-88
403,21,29176.89273611534,0.20287951179333893,1,156,5326,1742,6912
404,41,21080.50003248598,0.022545781707434594,1,321,15173,1630,16482
405,26,21284.149475925366,0.0044187573680042926,1,85,6549,2495,8959
406,18,23876.993290128514,0.3496177427161812,1,2767,7294,1518,6045
407,23,21225.31058723818,0.002837067334397618,1,946,5520,1499,6073
408,35,27492.95637531327,0.25110216411207664,1,211,13513,1806,15108
409,43,28148.787217492172,0.26737746935054363,1,532,6883,1877,8228
410,18,38308.62671432759,0.011347809979391981,1,275,32106,2029,33860
411,60,24906.48601936676,0.04915579846569005,1,181,11760,1723,13302
