ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
165,0,0,24,0,-24
166,0,0,104,0,-104
167,0,0,0,0,0
168,1,1,489,1530,1041
169,0,0,20,0,-20
170,1,0,103,0,-103
171,0,0,0,0,0
172,0,0,85,0,-85
173,0,0,9,0,-9
174,1,1,442,2699,2257
175,0,0,17,0,-17
176,0,0,79,0,-79
177,1,1,126,1255,1129
178,0,0,37,0,-37
179,1,0,141,0,-141
180,1,0,148,0,-148
181,1,0,58,0,-58
182,1,0,0,0,0
183,1,0,61,0,-61
184,1,0,121,0,-121
185,1,1,139,1370,1231
186,1,1,581,1323,742
187,0,0,55,0,-55
188,0,0,44,0,-44
189,0,0,7,0,-7
190,0,0,112,0,-112
191,0,0,26,0,-26
192,1,0,52,0,-52
193,0,0,17,0,-17
194,0,0,103,0,-103
195,1,0,109,0,-109
196,0,0,15,0,-15
197,1,0,25,0,-25
198,1,0,112,0,-112
199,1,1,428,1281,853
200,1,1,424,1325,901
201,0,0,2,0,-2
202,1,1,66,1343,1277
203,1,0,19,0,-19
204,1,1,2123,1287,-836
205,1,1,108,1513,1405
206,1,0,38,0,-38
207,1,0,51,0,-51
208,1,1,222,1680,1458
209,1,1,114,1740,1626
210,0,0,60,0,-60
211,1,1,703,1219,516
212,0,0,74,0,-74
213,0,0,13,0,-13
214,1,1,402,1662,1260
215,0,0,145,0,-145
216,1,1,668,1872,1204
217,1,1,488,1868,1380
218,0,0,117,0,-117
219,1,1,690,1352,662
220,1,0,106,0,-106
221,1,1,110,2133,2023
222,1,0,44,0,-44
223,0,0,94,0,-94
224,0,0,27,0,-27
225,1,1,1221,1385,164
226,1,0,4,0,-4
227,1,0,32,0,-32
228,0,0,13,0,-13
229,1,1,1194,1516,322
230,0,0,49,0,-49
231,0,0,58,0,-58
232,1,1,348,1621,1273
233,1,0,27,0,-27
234,1,1,77,1515,1438
235,1,1,1709,1276,-433
236,1,1,518,1718,1200
237,1,1,512,1283,771
238,1,1,75,1343,1268
239,0,0,1,0,-1
240,1,0,19,0,-19
241,0,0,40,0,-40
242,1,1,181,1438,1257
243,1,0,26,0,-26
244,0,0,58,0,-58
245,1,0,11,0,-11
246,1,1,237,1251,1014
247,1,0,84,0,-84
248,1,0,46,0,-46
249,1,1,105,2363,2258
250,1,0,0,0,0
251,1,1,1666,1248,-418
252,0,0,34,0,-34
253,1,0,12,0,-12
254,0,0,34,0,-34
255,1,1,1534,2148,614
256,1,0,43,0,-43
257,1,1,1157,1471,314
258,1,0,68,0,-68
259,0,0,8,0,-8
260,1,1,166,1387,1221
261,1,0,100,0,-100
262,0,0,8,0,-8
263,1,1,870,1402,532
264,1,0,34,0,-34
265,1,0,0,0,0
266,1,0,35,0,-35
267,1,1,310,2799,2489
268,1,0,9,0,-9
269,1,1,60,1479,1419
270,1,1,2214,1291,-923
271,1,1,168,1268,1100
272,1,1,1266,1241,-25
273,1,1,902,1325,423
274,1,0,5,0,-5
275,1,1,250,1391,1141
276,1,0,8,0,-8
277,1,0,28,0,-28
278,0,0,76,0,-76
279,0,0,35,0,-35
280,0,0,25,0,-25
281,1,1,931,1637,706
282,1,0,25,0,-25
283,0,0,10,0,-10
284,0,0,49,0,-49
285,0,0,14,0,-14
286,0,0,45,0,-45
287,0,0,48,0,-48
288,1,0,107,0,-107
289,1,1,512,1262,750
290,1,1,581,1520,939
291,1,1,384,1467,1083
292,1,1,566,2143,1577
293,1,1,529,1788,1259
294,1,0,4,0,-4
295,0,0,64,0,-64
296,0,0,129,0,-129
297,1,0,117,0,-117
298,1,0,21,0,-21
299,1,1,226,2281,2055
300,0,0,10,0,-10
301,1,0,54,0,-54
302,1,0,33,0,-33
303,1,1,1804,1283,-521
304,0,0,57,0,-57
305,0,0,2,0,-2
306,1,1,79,1225,1146
307,1,0,122,0,-122
308,0,0,50,0,-50
309,1,1,975,1512,537
310,1,0,66,0,-66
311,0,0,24,0,-24
312,0,0,3,0,-3
313,1,1,157,1329,1172
314,0,0,23,0,-23
315,1,0,187,0,-187
316,0,0,37,0,-37
317,0,0,24,0,-24
318,1,0,97,0,-97
319,0,0,65,0,-65
320,0,0,127,0,-127
321,1,1,61,2624,2563
322,0,0,58,0,-58
323,1,1,289,1213,924
324,0,0,122,0,-122
325,0,0,23,0,-23
326,1,0,29,0,-29
327,1,1,1185,1268,83
328,1,1,242,1948,1706
329,0,0,8,0,-8
330,1,1,38,1478,1440
331,1,0,105,0,-105
332,1,0,0,0,0
333,1,1,37,1295,1258
334,1,0,11,0,-11
335,0,0,24,0,-24
336,0,0,18,0,-18
337,0,0,10,0,-10
338,1,0,218,0,-218
339,1,1,371,1533,1162
340,0,0,51,0,-51
341,0,0,7,0,-7
342,1,1,817,1232,415
343,0,0,137,0,-137
344,0,0,70,0,-70
345,0,0,62,0,-62
346,1,1,433,1322,889
347,0,0,53,0,-53
348,1,0,4,0,-4
349,1,0,0,0,0
350,1,0,56,0,-56
351,1,0,62,0,-62
352,0,0,16,0,-16
353,1,1,73,1260,1187
354,1,0,8,0,-8
355,1,1,411,1677,1266
356,1,1,699,1318,619
357,1,0,15,0,-15
358,0,0,53,0,-53
359,0,0,13,0,-13
360,0,0,21,0,-21
361,1,0,15,0,-15
362,1,0,4,0,-4
363,1,1,1057,1641,584
364,1,0,108,0,-108
365,0,0,67,0,-67
366,0,0,16,0,-16
367,1,0,67,0,-67
368,1,1,1220,2313,1093
369,1,0,31,0,-31
370,1,1,2210,1504,-706
371,1,0,24,0,-24
372,1,1,214,1288,1074
373,1,1,107,1348,1241
374,1,1,117,3040,2923
375,1,1,1204,1368,164
376,0,0,87,0,-87
377,1,0,27,0,-27
378,1,0,148,0,-148
379,0,0,2,0,-2
380,1,1,290,3090,2800
381,0,0,2,0,-2
382,0,0,69,0,-69
383,1,1,322,1942,1620
384,1,1,467,1827,1360
385,0,0,16,0,-16
386,0,0,140,0,-140
387,0,0,88,0,-88
388,1,1,709,1315,606
389,0,0,21,0,-21
390,1,1,992,1209,217
391,1,0,16,0,-16
392,1,1,56,2725,2669
393,0,0,17,0,-17
394,1,0,1,0,-1
395,0,0,154,0,-154
396,1,0,150,0,-150
397,1,0,28,0,-28
398,1,1,287,1206,919
399,0,0,43,0,-43
400,0,0,140,0,-140
401,1,0,147,0,-147
402,0,0,17,0,-17
403,1,0,24,0,-24
404,0,0,90,0,-90
405,1,1,578,1549,971
406,0,0,114,0,-114
407,1,1,741,1567,826
408,1,0,61,0,-61
409,0,0,19,0,-19
410,1,1,153,1283,1130
411,0,0,3,0,-3
412,0,0,1,0,-1
413,1,0,16,0,-16
414,1,1,1099,2177,1078
415,1,0,33,0,-33
416,1,1,983,1257,274
417,1,0,138,0,-138
418,0,0,78,0,-78
419,0,0,92,0,-92
420,0,0,42,0,-42
421,1,1,277,1270,993
422,1,1,166,1944,1778
423,1,1,436,1347,911
424,1,1,464,1604,1140
425,1,1,382,1271,889
426,0,0,20,0,-20
427,1,1,446,1512,1066
428,1,1,104,1597,1493
429,1,1,1586,1450,-136
430,0,0,48,0,-48
431,1,0,106,0,-106
432,1,0,42,0,-42
433,1,1,1239,1547,308
434,1,1,177,1728,1551
435,1,1,261,1210,949
436,1,1,317,1269,952
437,1,0,6,0,-6
438,1,1,837,1682,845
439,1,0,21,0,-21
440,1,0,52,0,-52
441,1,0,106,0,-106
442,1,0,5,0,-5
443,1,0,124,0,-124
444,1,0,21,0,-21
445,0,0,65,0,-65
446,0,0,2,0,-2
447,0,0,45,0,-45
448,1,1,113,1577,1464
449,0,0,141,0,-141
450,1,0,9,0,-9
451,1,1,482,1512,1030
452,1,0,52,0,-52
453,1,1,139,1720,1581
454,1,1,263,1755,1492
455,0,0,36,0,-36
456,1,0,26,0,-26
457,0,0,41,0,-41
458,1,0,71,0,-71
459,0,0,2,0,-2
460,1,0,24,0,-24
461,0,0,37,0,-37
462,1,1,423,1716,1293
463,0,0,14,0,-14
464,1,1,302,1756,1454
465,1,1,468,1581,1113
466,1,1,1217,1869,652
467,1,0,44,0,-44
468,0,0,97,0,-97
469,0,0,1,0,-1
470,1,1,667,1251,584
471,1,0,38,0,-38
472,1,0,0,0,0
473,1,0,89,0,-89
474,1,0,16,0,-16
475,1,1,875,1449,574
476,1,0,41,0,-41
477,0,0,119,0,-119
478,0,0,159,0,-159
479,1,1,1183,1440,257
480,0,0,25,0,-25
481,1,1,626,1208,582
482,0,0,70,0,-70
483,1,1,1024,1430,406
484,1,0,25,0,-25
485,1,0,22,0,-22
486,0,0,1,0,-1
487,0,0,73,0,-73
488,1,1,1454,1251,-203
489,0,0,80,0,-80
490,0,0,8,0,-8
491,0,0,71,0,-71
492,0,0,52,0,-52
493,0,0,5,0,-5
494,0,0,30,0,-30
495,0,0,1,0,-1
496,0,0,15,0,-15
497,0,0,126,0,-126
498,0,0,8,0,-8
499,0,0,81,0,-81
500,0,0,24,0,-24
501,1,1,735,1684,949
502,0,0,18,0,-18
503,1,1,606,2285,1679
504,0,0,119,0,-119
505,1,0,20,0,-20
506,1,0,17,0,-17
507,1,0,68,0,-68
508,1,0,16,0,-16
509,0,0,17,0,-17
510,1,1,297,1336,1039
511,1,1,786,1567,781
512,0,0,22,0,-22
513,1,1,52,1881,1829
514,1,0,26,0,-26
515,0,0,15,0,-15
516,1,0,22,0,-22
517,0,0,37,0,-37
518,1,1,641,4301,3660
519,0,0,2,0,-2
520,0,0,14,0,-14
521,1,0,121,0,-121
522,1,1,84,1595,1511
523,0,0,65,0,-65
524,1,1,69,1816,1747
525,0,0,49,0,-49
526,0,0,58,0,-58
527,0,0,16,0,-16
528,1,1,678,1559,881
529,1,1,504,1359,855
530,1,0,13,0,-13
531,0,0,140,0,-140
532,1,1,2359,1328,-1031
533,0,0,63,0,-63
534,0,0,19,0,-19
535,0,0,17,0,-17
536,1,0,60,0,-60
537,1,0,57,0,-57
538,1,1,499,1366,867
539,0,0,51,0,-51
540,1,0,45,0,-45
541,0,0,61,0,-61
542,0,0,13,0,-13
543,0,0,25,0,-25
544,1,0,11,0,-11
545,1,1,1711,1554,-157
546,0,0,40,0,-40
547,1,1,805,1298,493
548,1,1,100,1280,1180
549,1,1,81,1241,1160
550,1,0,123,0,-123
551,0,0,35,0,-35
552,1,1,289,1217,928
553,1,1,298,1540,1242
554,1,0,90,0,-90
555,0,0,209,0,-209
556,1,1,1174,1256,82
557,0,0,21,0,-21
558,1,1,185,1284,1099
559,1,1,573,1358,785
560,1,0,1,0,-1
561,0,0,55,0,-55
562,1,1,1215,1341,126
563,1,0,34,0,-34
564,1,0,9,0,-9
565,1,0,28,0,-28
566,0,0,22,0,-22
567,0,0,4,0,-4
568,0,0,115,0,-115
569,1,1,1064,1519,455
570,1,0,87,0,-87
571,1,0,25,0,-25
572,1,1,715,3116,2401
573,0,0,20,0,-20
574,1,1,127,1211,1084
575,0,0,29,0,-29
576,1,0,105,0,-105
577,1,0,55,0,-55
578,1,0,67,0,-67
579,1,1,1150,2006,856
580,1,1,223,1280,1057
581,1,1,173,2546,2373
582,0,0,183,0,-183
583,0,0,33,0,-33
584,0,0,57,0,-57
585,0,0,13,0,-13
586,0,0,36,0,-36
587,1,1,410,1303,893
588,0,0,72,0,-72
589,1,0,22,0,-22
590,1,1,307,2625,2318
591,0,0,35,0,-35
592,1,1,29,1539,1510
593,1,1,413,2040,1627
594,1,1,471,1230,759
595,1,1,120,1530,1410
596,1,1,1342,1309,-33
597,1,1,357,1479,1122
598,0,0,3,0,-3
599,0,0,328,0,-328
600,1,0,14,0,-14
601,1,1,379,2716,2337
602,1,0,114,0,-114
603,1,1,1361,1765,404
604,1,1,60,1278,1218
605,1,0,28,0,-28
606,0,0,35,0,-35
607,0,0,49,0,-49
608,1,1,423,1262,839
609,1,1,1177,1343,166
610,1,1,589,1777,1188
611,1,0,42,0,-42
612,0,0,1,0,-1
613,1,1,242,1284,1042
614,1,0,5,0,-5
615,0,0,3,0,-3
616,0,0,2,0,-2
617,1,0,11,0,-11
618,1,1,178,1610,1432
619,0,0,27,0,-27
620,1,1,180,3855,3675
621,1,0,42,0,-42
622,1,1,445,1232,787
623,1,0,9,0,-9
624,0,0,4,0,-4
625,0,0,12,0,-12
626,1,1,352,1208,856
627,1,0,23,0,-23
628,0,0,5,0,-5
629,1,1,208,1276,1068
630,0,0,46,0,-46
631,1,1,1059,1291,232
632,0,0,29,0,-29
633,1,1,442,1275,833
634,1,0,2,0,-2
635,1,1,207,1549,1342
636,1,0,73,0,-73
637,0,0,183,0,-183
638,1,0,208,0,-208
639,1,1,454,1682,1228
640,1,0,39,0,-39
641,1,0,45,0,-45
642,1,0,64,0,-64
643,1,1,44,1903,1859
644,1,1,401,1648,1247
645,1,0,66,0,-66
646,1,1,842,1317,475
647,0,0,44,0,-44
648,0,0,44,0,-44
649,1,0,95,0,-95
650,1,1,257,1336,1079
651,0,0,239,0,-239
652,1,1,163,1270,1107
653,0,0,6,0,-6
654,1,0,6,0,-6
655,0,0,27,0,-27
656,1,0,107,0,-107
657,1,0,2,0,-2
658,0,0,23,0,-23
659,0,0,20,0,-20
660,0,0,8,0,-8
661,0,0,88,0,-88
662,0,0,17,0,-17
663,0,0,23,0,-23
664,0,0,13,0,-13
665,1,0,97,0,-97
666,1,1,836,1643,807
667,1,0,84,0,-84
668,0,0,26,0,-26
669,0,0,78,0,-78
670,1,1,344,1657,1313
671,1,0,14,0,-14
672,1,1,164,1333,1169
673,1,1,932,1681,749
674,1,1,69,1817,1748
675,1,1,1270,1294,24
676,1,0,15,0,-15
677,1,0,68,0,-68
678,1,1,586,2179,1593
679,1,0,26,0,-26
680,0,0,127,0,-127
681,1,1,1838,1572,-266
682,0,0,98,0,-98
683,1,1,1377,1496,119
684,1,0,35,0,-35
685,1,1,1577,1397,-180
686,1,0,45,0,-45
687,0,0,79,0,-79
688,1,0,176,0,-176
689,1,1,328,2667,2339
690,0,0,34,0,-34
691,1,0,45,0,-45
692,0,0,18,0,-18
693,1,1,248,1424,1176
694,1,1,871,1903,1032
695,1,1,538,3088,2550
696,0,0,1,0,-1
697,1,1,208,1211,1003
698,1,1,389,1716,1327
699,0,0,5,0,-5
700,0,0,87,0,-87
701,1,0,11,0,-11
702,1,0,14,0,-14
703,0,0,50,0,-50
704,1,1,398,1276,878
705,0,0,104,0,-104
706,0,0,14,0,-14
707,0,0,4,0,-4
708,0,0,68,0,-68
709,0,0,28,0,-28
710,1,1,245,1389,1144
711,0,0,17,0,-17
712,1,0,41,0,-41
713,0,0,44,0,-44
714,0,0,10,0,-10
715,0,0,3,0,-3
716,1,1,1135,1632,497
717,0,0,6,0,-6
718,1,1,335,1937,1602
719,1,0,1,0,-1
720,0,0,29,0,-29
721,0,0,25,0,-25
722,1,1,193,1327,1134
723,0,0,19,0,-19
724,1,1,624,1290,666
725,1,0,53,0,-53
726,0,0,31,0,-31
727,0,0,60,0,-60
728,1,1,166,1697,1531
729,1,0,42,0,-42
730,0,0,125,0,-125
731,0,0,72,0,-72
732,1,1,554,1229,675
733,0,0,12,0,-12
734,0,0,37,0,-37
735,1,1,402,1813,1411
736,0,0,130,0,-130
737,1,0,68,0,-68
738,1,0,70,0,-70
739,0,0,2,0,-2
740,1,0,48,0,-48
741,0,0,44,0,-44
742,1,0,43,0,-43
743,0,0,33,0,-33
744,1,1,631,1425,794
745,0,0,66,0,-66
746,0,0,30,0,-30
747,0,0,0,0,0
748,1,1,116,2132,2016
749,1,1,443,1412,969
750,1,0,303,0,-303
751,1,1,1631,1810,179
752,1,0,22,0,-22
753,1,1,458,1305,847
754,1,0,35,0,-35
755,0,0,36,0,-36
756,1,1,100,1759,1659
757,0,0,93,0,-93
758,0,0,17,0,-17
759,0,0,14,0,-14
760,0,0,51,0,-51
761,1,0,59,0,-59
762,1,1,897,1728,831
763,0,0,33,0,-33
764,1,1,226,1722,1496
765,1,1,225,1225,1000
766,0,0,48,0,-48
767,1,0,16,0,-16
768,0,0,57,0,-57
769,0,0,10,0,-10
770,0,0,16,0,-16
771,0,0,53,0,-53
772,0,0,28,0,-28
773,0,0,24,0,-24
774,1,1,189,2250,2061
775,1,1,233,1863,1630
776,1,1,940,1395,455
777,1,1,399,2444,2045
778,1,1,53,1582,1529
779,1,1,1077,1571,494
780,0,0,37,0,-37
781,1,0,44,0,-44
782,1,1,21,1800,1779
783,0,0,40,0,-40
784,0,0,28,0,-28
785,0,0,2,0,-2
786,1,0,84,0,-84
787,1,0,12,0,-12
788,1,0,59,0,-59
789,0,0,56,0,-56
790,1,1,851,1208,357
791,0,0,4,0,-4
792,0,0,30,0,-30
793,0,0,154,0,-154
794,1,1,142,1681,1539
795,0,0,8,0,-8
796,1,0,42,0,-42
797,1,1,946,1418,472
798,0,0,69,0,-69
799,1,1,97,1485,1388
800,0,0,39,0,-39
801,0,0,31,0,-31
802,1,0,78,0,-78
803,1,1,62,1519,1457
804,0,0,50,0,-50
805,1,0,22,0,-22
806,0,0,1,0,-1
807,1,0,11,0,-11
808,1,1,705,1284,579
809,1,0,128,0,-128
810,0,0,107,0,-107
811,1,1,1422,1386,-36
812,0,0,66,0,-66
813,1,1,53,1637,1584
814,1,0,214,0,-214
815,0,0,23,0,-23
816,0,0,78,0,-78
817,0,0,25,0,-25
818,1,1,780,1773,993
819,1,1,501,1936,1435
820,0,0,57,0,-57
821,0,0,74,0,-74
822,0,0,23,0,-23
823,1,1,1120,1339,219
824,1,0,55,0,-55
825,0,0,9,0,-9
826,1,0,123,0,-123
827,0,0,36,0,-36
828,1,0,7,0,-7
829,0,0,12,0,-12
830,0,0,6,0,-6
831,0,0,13,0,-13
832,1,0,236,0,-236
833,0,0,7,0,-7
834,0,0,104,0,-104
835,1,0,138,0,-138
836,1,1,184,1604,1420
837,0,0,78,0,-78
838,1,1,296,1266,970
839,1,0,3,0,-3
840,0,0,39,0,-39
841,1,0,12,0,-12
842,1,0,12,0,-12
843,1,1,290,1360,1070
844,1,0,8,0,-8
845,1,1,25,1502,1477
846,1,1,1055,1489,434
847,0,0,124,0,-124
848,0,0,236,0,-236
849,0,0,11,0,-11
850,0,0,99,0,-99
851,0,0,12,0,-12
852,1,0,12,0,-12
853,0,0,120,0,-120
854,0,0,13,0,-13
855,1,1,1287,1314,27
856,1,1,147,2078,1931
857,0,0,24,0,-24
858,0,0,12,0,-12
859,1,0,14,0,-14
860,1,0,3,0,-3
861,0,0,36,0,-36
862,0,0,15,0,-15
863,0,0,11,0,-11
864,1,1,466,1260,794
865,1,1,483,1344,861
866,0,0,31,0,-31
867,0,0,26,0,-26
868,0,0,51,0,-51
869,0,0,13,0,-13
870,1,0,32,0,-32
871,0,0,26,0,-26
872,1,0,28,0,-28
873,0,0,49,0,-49
874,1,1,89,1853,1764
875,0,0,39,0,-39
876,0,0,21,0,-21
877,1,0,54,0,-54
878,1,1,873,1405,532
879,1,0,138,0,-138
880,1,0,87,0,-87
881,1,0,27,0,-27
882,1,1,185,1426,1241
883,0,0,1,0,-1
884,1,0,26,0,-26
885,1,1,395,1212,817
886,0,0,15,0,-15
887,1,1,116,3617,3501
888,1,1,52,1458,1406
889,1,0,13,0,-13
890,1,1,1490,1283,-207
891,0,0,96,0,-96
892,1,0,107,0,-107
893,1,1,647,1667,1020
894,1,0,97,0,-97
895,1,1,787,1749,962
896,0,0,81,0,-81
897,1,0,69,0,-69
898,1,0,27,0,-27
899,1,0,82,0,-82
900,0,0,6,0,-6
901,0,0,144,0,-144
902,0,0,117,0,-117
903,0,0,34,0,-34
904,1,0,43,0,-43
905,1,1,3684,1557,-2127
906,1,1,380,1200,820
907,1,1,136,1589,1453
908,1,0,34,0,-34
909,0,0,14,0,-14
910,1,1,48,1679,1631
911,1,1,427,1889,1462
912,1,1,922,1549,627
913,1,0,123,0,-123
914,0,0,6,0,-6
915,0,0,12,0,-12
916,1,1,672,1726,1054
917,1,1,40,3787,3747
918,0,0,2,0,-2
919,1,0,9,0,-9
920,1,1,1326,1451,125
921,1,1,101,1533,1432
922,1,1,308,1508,1200
923,1,0,32,0,-32
924,1,1,766,1350,584
925,0,0,52,0,-52
926,0,0,22,0,-22
927,1,0,127,0,-127
928,1,0,110,0,-110
929,1,0,12,0,-12
930,1,1,1046,2140,1094
931,0,0,25,0,-25
932,1,1,594,1210,616
933,1,0,14,0,-14
934,0,0,24,0,-24
935,1,0,45,0,-45
936,0,0,37,0,-37
937,1,0,134,0,-134
938,1,0,107,0,-107
939,0,0,4,0,-4
940,0,0,37,0,-37
941,0,0,6,0,-6
942,1,0,1,0,-1
943,1,1,312,1271,959
944,1,0,12,0,-12
945,0,0,37,0,-37
946,0,0,178,0,-178
947,0,0,73,0,-73
948,1,0,44,0,-44
949,1,0,12,0,-12
950,1,1,640,1769,1129
951,1,0,35,0,-35
952,1,0,3,0,-3
953,0,0,32,0,-32
954,0,0,2,0,-2
955,1,1,24,1707,1683
956,0,0,140,0,-140
957,0,0,9,0,-9
958,0,0,56,0,-56
959,0,0,45,0,-45
960,0,0,33,0,-33
961,0,0,14,0,-14
962,0,0,58,0,-58
963,1,0,6,0,-6
964,0,0,32,0,-32
965,1,1,395,1442,1047
966,0,0,30,0,-30
967,1,0,28,0,-28
968,0,0,42,0,-42
969,1,1,261,2774,2513
970,1,1,539,1257,718
971,0,0,5,0,-5
972,1,1,171,1299,1128
973,1,0,100,0,-100
974,1,0,25,0,-25
975,1,1,204,2040,1836
976,0,0,90,0,-90
977,1,1,861,1420,559
978,1,1,295,1371,1076
979,0,0,6,0,-6
980,0,0,45,0,-45
981,0,0,17,0,-17
982,0,0,14,0,-14
983,0,0,54,0,-54
984,0,0,135,0,-135
985,1,0,34,0,-34
986,0,0,41,0,-41
987,0,0,6,0,-6
988,1,0,47,0,-47
989,1,0,191,0,-191
990,1,0,1,0,-1
991,1,0,70,0,-70
992,0,0,37,0,-37
993,1,1,149,2380,2231
994,1,0,1,0,-1
995,0,0,7,0,-7
996,1,1,719,1531,812
997,1,1,480,1453,973
998,0,0,9,0,-9
999,1,0,22,0,-22
1000,0,0,7,0,-7
1001,0,0,40,0,-40
1002,1,0,23,0,-23
1003,1,0,36,0,-36
1004,1,0,2,0,-2
1005,0,0,14,0,-14
1006,0,0,39,0,-39
1007,1,1,288,1482,1194
1008,1,1,99,1495,1396
1009,0,0,81,0,-81
1010,0,0,15,0,-15
1011,1,1,242,1208,966
1012,1,0,78,0,-78
1013,0,0,7,0,-7
1014,0,0,1,0,-1
1015,0,0,69,0,-69
1016,0,0,7,0,-7
1017,0,0,2,0,-2
1018,0,0,28,0,-28
1019,1,0,5,0,-5
1020,1,0,29,0,-29
1021,0,0,50,0,-50
1022,1,1,208,1388,1180
1023,1,0,16,0,-16
1024,1,1,675,1514,839
1025,1,0,11,0,-11
1026,1,0,26,0,-26
1027,0,0,4,0,-4
1028,0,0,34,0,-34
1029,0,0,7,0,-7
1030,1,1,677,1528,851
1031,0,0,77,0,-77
1032,0,0,12,0,-12
1033,0,0,17,0,-17
1034,0,0,37,0,-37
1035,0,0,0,0,0
1036,1,1,592,1228,636
1037,0,0,113,0,-113
1038,0,0,45,0,-45
1039,0,0,66,0,-66
1040,0,0,13,0,-13
1041,0,0,49,0,-49
1042,0,0,21,0,-21
1043,0,0,36,0,-36
1044,1,0,19,0,-19
1045,0,0,22,0,-22
1046,1,1,1162,1206,44
1047,1,0,201,0,-201
1048,1,1,265,3484,3219
